task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
76	f9/3d4617	27695	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190001)	COMPLETED	0	2023-11-22 10:36:17.476	4m 27s	4m 25s	673.2%	19.1 GB	297.2 GB	149.7 MB	4.2 MB
93	13/e73c38	180813	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205020001)	COMPLETED	0	2023-11-22 10:40:01.987	1m 16s	1m 13s	600.8%	6.3 GB	115.4 GB	149.6 MB	4 MB
108	f8/c96a5d	73101	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2205040005)	COMPLETED	0	2023-11-22 10:36:59.668	5m 6s	5m 2s	76.8%	1.6 GB	6.6 GB	128.1 MB	241.8 KB
64	43/05739c	4046156	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204190004)	COMPLETED	0	2023-11-22 10:33:18.390	9m 50s	9m 49s	839.5%	24.1 GB	302.1 GB	150.1 MB	4.5 MB
82	bd/650770	124587	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204270001)	COMPLETED	0	2023-11-22 10:38:07.608	5m 18s	5m 17s	676.4%	22.3 GB	300.3 GB	150 MB	4.1 MB
111	bf/df0e61	204531	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2210190004)	COMPLETED	0	2023-11-22 10:40:44.104	3m 45s	3m 43s	618.3%	16.3 GB	255.6 GB	149.7 MB	4.2 MB
115	86/e414b2	224682	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2205020002)	COMPLETED	0	2023-11-22 10:41:17.913	6m 28s	6m 26s	621.4%	20.7 GB	298.7 GB	150.1 MB	4.7 MB
65	92/16b0a9	4118933	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204190005)	COMPLETED	0	2023-11-22 10:34:25.167	14m 5s	14m 3s	711.0%	27 GB	305 GB	150.3 MB	4.7 MB
66	b4/c8feb2	4121907	OPENCOBRA_JEWELER:JEWELER:MEMOTE_REPORT_SNAPSHOT (MODEL2204190003)	COMPLETED	0	2023-11-22 10:34:27.452	14m 20s	14m 18s	704.0%	27 GB	304.9 GB	150.3 MB	4.7 MB
98	7a/bea3d9	22472	OPENCOBRA_JEWELER:JEWELER:VALIDATE_SBML (MODEL2204280001)	COMPLETED	0	2023-11-22 10:36:12.268	12m 48s	12m 47s	79.0%	1.6 GB	6.7 GB	127.9 MB	187.1 KB
